epoch,train_loss,train_acc,val_loss,val_acc
1,1.3017852622796093,0.6082036775106082,1.2970638043374938,0.6023477622890683
2,1.258254663366839,0.6434071978626434,1.2494645883996787,0.6493030080704328
3,1.2502081177059667,0.652050919377652,1.2474001698518447,0.6544387380777696
4,1.2363463974815858,0.6658808738016658,1.260640444426701,0.6331621423330888
5,1.2310844990661192,0.6713814238566714,1.205788495867723,0.698459280997799
6,1.2181657572203268,0.6850542197076851,1.2139207280390594,0.6845194424064563
7,1.204708701331867,0.6976269055476976,1.202433361958163,0.7021276595744681
8,1.1851801346368653,0.7216721672167217,1.169456503536451,0.7373440939104916
9,1.179397963997929,0.725915448687726,1.1666865911189896,0.7424798239178283
10,1.1762160956625405,0.729058620147729,1.1623502693365184,0.7454145267791636
11,1.1746023856448842,0.7342448530567343,1.1658743242962082,0.7373440939104916
12,1.1714873755294797,0.7336162187647336,1.1597927876106537,0.7468818782098312
13,1.1701570089257178,0.7353449630677353,1.1545526480202455,0.7534849596478357
14,1.165438548529015,0.7406883545497407,1.151985021785,0.7571533382245048
15,1.1638456466305505,0.7416313059877416,1.1520795360349683,0.7527512839325018
16,1.1606340308656262,0.7455602703127455,1.1536476276240974,0.7534849596478357
17,1.1586979570842924,0.7494892346377495,1.151634019608893,0.752017608217168
18,1.1593687439534381,0.7487034417727487,1.151857161556896,0.7527512839325018
19,1.1610698439912677,0.7474461731887474,1.1537805839400037,0.7527512839325018
20,1.1620978891858884,0.7427314159987427,1.1497665851849104,0.7578870139398386
