epoch,train_loss,train_acc,val_loss,val_acc
1,1.5921134294699932,0.22033631934622033,1.5717062724484998,0.4431401320616288
2,1.555126894518918,0.5134370579915134,1.5347879698236289,0.5355832721936904
3,1.51713859414822,0.5426685525695427,1.4940075977532548,0.5561261922230374
4,1.480545122500169,0.5520980669495521,1.4576517370634017,0.5590608950843727
5,1.4473713562583355,0.5563413484205564,1.4269408874448748,0.5605282465150404
6,1.4218213941135553,0.561999057048562,1.4061437372066306,0.5627292736610419
7,1.4030360496964036,0.564042118497564,1.388341987386663,0.5671313279530448
8,1.3934842613382983,0.561999057048562,1.3853299175214873,0.5627292736610419
9,1.393617269548065,0.5637278013515638,1.3864204596703489,0.5671313279530448
10,1.3913000485216243,0.5605846298915605,1.381308098794429,0.5612619222303742
11,1.390659430183256,0.5635706427785636,1.3838937488095513,0.5627292736610419
12,1.3893620455469253,0.564042118497564,1.3817806533392265,0.5612619222303742
13,1.387107624116604,0.561999057048562,1.3811832826450654,0.5663976522377109
14,1.3862077896838179,0.5665566556655666,1.3792003087059854,0.5678650036683786
15,1.3857793822596514,0.5612132641835612,1.3823351731478775,0.5656639765223771
16,1.3859886021503913,0.5616847399025617,1.3795163242237933,0.5678650036683786
17,1.386015087914096,0.5621562156215621,1.3812622424004626,0.5678650036683786
18,1.3859320052030157,0.5618418984755619,1.380148631810967,0.57006603081438
19,1.3855936581957702,0.5656137042275656,1.381751711195388,0.57006603081438
20,1.3855328005326537,0.5635706427785636,1.3751496602224236,0.5627292736610419
