epoch,train_loss,train_acc,val_loss,val_acc
1,1.6056878153640446,0.1966053748231966,1.6041175827591714,0.43066764490095377
2,1.6020636730892523,0.41128398554141127,1.6006723076476828,0.4805575935436537
3,1.5990340989021579,0.47823353763947823,1.5976677999195594,0.4798239178283199
4,1.5961758022729506,0.48263397768348265,1.5946161841436597,0.47909024211298606
5,1.5931193391875464,0.4829482948294829,1.5913968495559971,0.47909024211298606
6,1.5898975203214494,0.4827911362564828,1.5879575619344228,0.47909024211298606
7,1.5864683947022862,0.4827911362564828,1.5841648895252476,0.47909024211298606
8,1.584150371340935,0.4827911362564828,1.5837567435059579,0.47909024211298606
9,1.5838748485285512,0.4827911362564828,1.583345319100014,0.47909024211298606
10,1.5834672016372813,0.4827911362564828,1.5829258307060248,0.47909024211298606
11,1.5830664664867555,0.4827911362564828,1.582499485110327,0.47909024211298606
12,1.582560109713721,0.4827911362564828,1.5820674426574874,0.47909024211298606
13,1.582215332917479,0.4827911362564828,1.5816285069690237,0.47909024211298606
14,1.5816645554995623,0.4827911362564828,1.5811805635012868,0.47909024211298606
15,1.5816741630788609,0.4827911362564828,1.5811358350038702,0.47909024211298606
16,1.581526124962617,0.4827911362564828,1.5810907287625644,0.47909024211298606
17,1.58127139923465,0.4827911362564828,1.5810452727648763,0.47909024211298606
18,1.5810340794867996,0.4827911362564828,1.5809991199657134,0.47909024211298606
19,1.5812398139249786,0.4827911362564828,1.5809537792415718,0.47909024211298606
20,1.5813099720671775,0.4827911362564828,1.5809083377624031,0.47909024211298606
