pretrained_model,test_loss,test_acc,test_precision_macro,test_recall_macro
resnet50,0.4531745182628855,0.8159824046920822,0.8338993653031304,0.8063737600882532
densenet121,0.5064483529661408,0.7859237536656891,0.828262743966002,0.7958351173751528
