epoch,train_loss,train_acc,val_loss,val_acc
1,1.3193246212542178,0.581958195819582,1.4086887016947096,0.4768892149669846
2,1.282223905892037,0.6177903504636177,1.4593143630185201,0.4314013206162876
3,1.2724769536980138,0.6256482791136256,1.28400647159193,0.6162876008804109
4,1.26889170986591,0.6322489391796322,1.2566345162192252,0.6485693323550991
5,1.2598382264361636,0.6429357221436429,1.2614910376045692,0.6375641966250917
6,1.2698512265428552,0.6305201948766305,1.2900008652372914,0.607483492296405
7,1.2598308153390771,0.6402640264026402,1.2801454959332024,0.6228906823184153
8,1.2464344520604818,0.6542511393996543,1.2378252689574278,0.6647101980924431
9,1.2421462570330115,0.6572371522866572,1.2358481665350283,0.6698459280997799
10,1.2373186308090256,0.6649379223636649,1.2413102993611806,0.6595744680851063
11,1.2383942908317473,0.6617947509036618,1.2341174781103827,0.6705796038151137
12,1.234125586139056,0.667923935250668,1.233895517147733,0.6705796038151137
13,1.2327414676113808,0.66996699669967,1.2328578669274457,0.6647101980924431
14,1.2281442261259268,0.6757818639006757,1.2366710507686052,0.6654438738077769
15,1.2269712315777759,0.6773534496306773,1.2267025796613182,0.6786500366837858
16,1.2255720850171,0.6770391324846771,1.2277137339333795,0.677916360968452
17,1.228402430112306,0.6732673267326733,1.2262492896175874,0.6793837123991195
18,1.2243168875235497,0.6803394625176803,1.2244127257641675,0.6764490095377843
19,1.2229014579443818,0.6803394625176803,1.2250038032048953,0.677916360968452
20,1.2267862390314055,0.6770391324846771,1.2254252750385533,0.6793837123991195
